timestamp,user,action
2026-05-22 12:03:00,analyst@findiag.com,Dashboard viewed — Analyst
2026-05-22 12:12:53,admin@findiag.com,Login — Role: Admin
2026-05-22 12:12:54,admin@findiag.com,Dashboard viewed — Admin
2026-05-22 12:20:46,admin@findiag.com,Login — Role: Admin
2026-05-22 12:20:46,admin@findiag.com,Dashboard viewed — Admin
2026-05-22 12:21:45,admin@findiag.com,Uploaded: quarterly_financials.xlsx
2026-05-22 12:21:59,admin@findiag.com,Uploaded: quarterly_financials.xlsx
2026-05-22 12:22:00,admin@findiag.com,Uploaded: quarterly_financials.xlsx
2026-05-22 12:22:04,admin@findiag.com,Uploaded: quarterly_financials.xlsx
2026-05-22 12:22:04,admin@findiag.com,Uploaded: quarterly_financials.xlsx
2026-05-22 12:26:57,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
2026-05-22 12:27:20,admin@findiag.com,Uploaded: quarterly_financials.csv
2026-05-22 12:27:29,admin@findiag.com,Uploaded: quarterly_financials.csv
2026-05-22 12:27:29,admin@findiag.com,Uploaded: quarterly_financials.csv
2026-05-22 12:27:49,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
2026-05-22 12:27:57,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
2026-05-22 12:27:58,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
2026-05-22 12:28:07,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
2026-05-22 12:28:07,admin@findiag.com,Uploaded: quarterly_financials (1).xlsx
